"","Seattle Riot","Brute Squad","Molly Brown","Fury","Scandal","Traffic","Ozone","6ixers","Nightlock","Heist","Pop","Showdown","Underground","Rival","Schwa","Nemesis"
"Seattle Riot",0,1,0,0,-2,-2,-3,-4,-2,-2,-3,-2,-2,-3,-2,-4
"Brute Squad",-1,0,0,-1,-2,-2,-3,-4,-3,-3,-4,-3,-3,-4,-3,-4
"Molly Brown",0,0,0,-1,-2,-2,-3,-4,-3,-2,-4,-2,-3,-3,-3,-4
"Fury",0,1,1,0,-2,-1,-2,-4,-2,-2,-3,-2,-2,-3,-2,-3
"Scandal",2,2,2,2,0,0,-1,-2,0,1,-1,1,0,0,1,-1
"Traffic",2,2,2,1,0,0,0,-1,2,1,0,2,1,1,2,0
"Ozone",3,3,3,2,1,0,0,1,2,1,3,0,2,4,3,4
"6ixers",4,4,4,4,2,1,-1,0,-1,-1,0,-1,-1,1,-1,1
"Nightlock",2,3,3,2,0,-2,-2,1,0,-1,3,-2,1,4,4,5
"Heist",2,3,2,2,-1,-1,-1,1,1,0,4,-1,2,4,4,4
"Pop",3,4,4,3,1,0,-3,0,-3,-4,0,-4,-3,1,-2,2
"Showdown",2,3,2,2,-1,-2,0,1,2,1,4,0,3,5,4,5
"Underground",2,3,3,2,0,-1,-2,1,-1,-2,3,-3,0,4,3,5
"Rival",3,4,3,3,0,-1,-4,-1,-4,-4,-1,-5,-4,0,-3,1
"Schwa",2,3,3,2,-1,-2,-3,1,-4,-4,2,-4,-3,3,0,4
"Nemesis",4,4,4,3,1,0,-4,-1,-5,-4,-2,-5,-5,-1,-4,0
